number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,high_winds,pedestrian_in_carriageway,rushhour,nighttime,weekend
2,3+,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,False,True
2,3+,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,False,True
2,3+,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,False,True
2,1,A,Dual carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,False,False
2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Female,36 - 45,0,Car front seat passenger,False,False,False,False,True
2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Female,36 - 45,0,Car front seat passenger,False,False,False,False,True
2,1,B,Dual carriageway,30,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Female,46 - 55,1,Car driver,False,False,True,False,False
2,3+,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,True,True
2,3+,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,True,True
2,3+,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,True,True
3+,1,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,21 - 25,0,Car driver,False,False,True,False,False
3+,1,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,26 - 35,1,Motorcycle rider,False,False,True,False,False
1,1,B,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Male,0 - 5,0,Pedestrian,False,True,False,False,False
3+,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,26 - 35,0,Car driver,False,False,False,True,True
2,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,Zebra,Daylight,Urban,Non-trunk,Male,21 - 25,0,Cyclist,False,False,False,True,False
2,1,Unclassified,Single carriageway,30,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,True,False,False
2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,True,False,False
1,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,66 - 75,1,Car driver,False,False,False,True,False
2,1,B,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,16 - 20,0,Cyclist,False,False,False,False,True
1,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,36 - 45,0,Pedestrian,False,True,False,True,True
2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,56 - 65,0,Car driver,False,False,False,False,True
2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,56 - 65,0,Car driver,False,False,False,False,True
2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,6 - 10,0,Pedestrian,False,True,False,False,True
2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Motorcycle rider,False,False,False,False,True
2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,36 - 45,0,Car front seat passenger,False,False,False,False,False
1,1,B,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Female,46 - 55,1,Car driver,False,False,False,True,False
1,1,Unclassified,Single carriageway,30,Other,Unclassified,Zebra,Daylight,Urban,Non-trunk,Female,21 - 25,0,Pedestrian,False,True,True,False,False
1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Female,11 - 15,0,Pedestrian,False,True,True,False,False
2,1,A,Single carriageway,50,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,26 - 35,0,Car driver,False,False,True,False,False
1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,56 - 65,0,Pedestrian,False,True,False,False,False
2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,True,False
2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,True,False
2,1,Unclassified,Single carriageway,20,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,36 - 45,0,Car driver,False,False,False,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,6 - 10,1,Pedestrian,False,True,False,False,True
2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,36 - 45,1,Motorcycle rider,False,False,True,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,Over 75,1,Pedestrian,False,True,False,False,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,False,False
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,False,False
