accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2023,2,1,A,Dual carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,6,20,False,False
2019,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,17,11,10,False,False
2019,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,17,11,10,False,False
2022,2,1,B,Dual carriageway,30,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,9,9,23,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2019,4,1,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,10,11,12,False,False
2022,3,1,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Motorcycle,10,5,16,False,False
2019,1,1,B,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Male,0 - 5,0,Not car passenger,Pedestrian,15,6,12,False,True
2019,3,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,3,7,28,False,False
2022,2,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Cyclist,6,10,11,False,False
2020,2,1,Unclassified,Single carriageway,30,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,7,6,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,7,1,False,False
2019,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,9,6,20,False,False
2019,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,9,6,20,False,False
2019,1,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,66 - 75,1,Not car passenger,Car occupant,6,7,29,False,False
2021,2,1,B,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,20,6,12,False,False
2023,1,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,36 - 45,0,Not car passenger,Pedestrian,3,3,18,False,True
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,13,2,23,False,False
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,13,2,23,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,6 - 10,0,Not car passenger,Pedestrian,20,7,16,False,True
2019,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Motorcycle,18,10,5,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,13,1,16,False,False
2021,1,1,B,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,6,11,19,False,False
2023,1,1,Unclassified,Single carriageway,30,Other,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,8,5,19,False,True
2022,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,11 - 15,0,Not car passenger,Pedestrian,8,7,18,False,True
2023,2,1,A,Single carriageway,50,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,8,2,6,False,False
2023,1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Male,56 - 65,0,Not car passenger,Pedestrian,12,1,10,False,True
2020,2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,6,6,25,False,False
2020,2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,6,6,25,False,False
2019,2,1,Unclassified,Single carriageway,20,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,11,3,18,False,False
2020,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,6 - 10,1,Not car passenger,Pedestrian,15,3,8,False,True
2022,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Motorcycle,10,4,27,False,False
2019,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,Over 75,1,Not car passenger,Pedestrian,11,11,30,False,True
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2023,1,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,7,9,12,False,True
2021,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,7,12,8,True,False
